Russian,English
я,I
не,not
что,what
в,in
и,and
ты,you
это,this is
на,on the
с,With
он,he
мы,we
как,how
вы,you
да,Yes
мне,to me
у,u
нет,No
меня,me
так,So
но,but
а,a
его,his
все,all
она,she is
тебя,you
о,about
если,if
за,per
бы,would
тебе,you
они,they
чтобы,to
же,the same
есть,there is
просто,simply
из,from
к,to
для,for
ну,well
когда,when
хорошо,Good
здесь,here
по,on
был,was
знаю,I know
то,then
только,only
всё,all
было,It was
вас,you
может,maybe
нас,us
вот,here
от,from
быть,to be
кто,who
будет,will be
почему,why
вам,to you
их,them
очень,very
могу,can
уже,already
спасибо,Thanks
или,or
нам,us
еще,more
там,there
нужно,need
сейчас,now
где,where
чем,how
хочу,want
ничего,nothing
этого,this
была,was
мой,my
ее,her
ладно,OK
знаешь,you know
п,P
до,before
этом,this
потому,because
теперь,now
думаю,think
больше,more
её,her
со,CO
раз,once
ему,to him
надо,necessary
время,time
этот,this
ли,Lee
ещё,yet
пока,bye
даже,even
привет,Hey
сказал,said
себя,myself
должен,must
тоже,too
хочешь,want
давай,let's
что-то,something
никогда,never
эй,hey
того,Togo
тогда,then
него,him
ни,Neither
тут,here
были,were
конечно,certainly
правда,truth
об,about
моя,my
пожалуйста,please
тобой,you
сказать,to tell
сегодня,today
один,one
лучше,better
можешь,can
сюда,here
мной,me
значит,means
сделать,do
всегда,always
дело,a business
можно,can
ей,her
должны,must
порядке,order
без,without
день,day
том,volume
буду,will
делать,do
хотел,I wanted to
чего,what
эти,these
много,a lot of
после,after
этим,This
всего,Total
во,in
твой,your
ним,him
лет,years
боже,God
них,them
сэр,sir
ведь,after all
мистер,Mister
жизнь,life
потом,after
ней,her
такой,such
который,which the
всех,All
через,through
им,them
возможно,Maybe
немного,a little
такое,Such
слишком,too much
себе,yourself
зачем,why
должна,must
моей,mine
люди,people
знаете,You know
этой,this
думаешь,You think
свою,my
точно,Exactly
человек,human
твоя,yours
под,under
сказала,said
назад,back
из-за,due to
эту,This
можем,Can
случилось,It happened
мама,mother
мог,Could
вместе,together
отец,father
сделал,did
мои,my
кажется,seems
друг,friend
куда,where
никто,nobody
поэтому,that's why
эта,this
которые,which
два,two
тот,that
сколько,How many
понимаю,Understand
снова,again
жизни,Life
нравится,Like
людей,of people
помочь,help
видел,saw
люблю,I love
хочет,wants
место,place
знать,know
кто-то,somebody
прости,sorry
отлично,Great
похоже,it seems
парень,guy
домой,home
всем,Everyone
деньги,money
иди,Go
времени,time
дома,at home
именно,exactly
доктор,doctor
думал,thought
говорил,spoke
делаешь,You do
будем,We will
прямо,directly
стоит,costs
поговорить,talk
найти,find
разве,Is it
слушай,listen
своей,his
лишь,only
ага,Yeah
можете,You can
простите,sorry
хотела,I wanted to
сам,myself
что-нибудь,something
тем,those
будешь,You will
прошу,I beg
три,three
деле,business